2017-04-10,+7,751,СЗ 2м/с,+4,751,СЗ 2м/с
2017-04-11,+14,749,З 3м/с,+9,748,З 3м/с
2017-04-12,+16,744,З 3м/с,+13,742,З 3м/с
2017-04-13,+10,749,З 3м/с,+8,749,З 3м/с
2017-04-14,+15,742,Ю 2м/с,+9,739,Ю 2м/с
2017-04-15,+8,735,З 4м/с,+3,738,З 4м/с
2017-04-16,+10,744,З 4м/с,+9,745,З 4м/с
