2013-10-07,+12,751,З 4м/с,+8,750,З 4м/с
2013-10-08,+9,749,З 2м/с,+9,750,З 2м/с
2013-10-09,+13,754,З 2м/с,+11,755,З 2м/с
2013-10-10,+12,756,З 3м/с,+11,758,З 3м/с
2013-10-11,+12,759,ЮЗ 1м/с,+10,758,ЮЗ 1м/с
2013-10-12,+12,751,З 3м/с,+10,752,З 3м/с
2013-10-13,+9,750,З 2м/с,+6,746,З 2м/с
