2020-11-30,-9,773,В 2м/с,-10,773,В 2м/с
2020-12-01,-7,771,В 3м/с,-8,771,В 3м/с
2020-12-02,-13,770,В 1м/с,-15,770,В 1м/с
2020-12-03,-12,770,З 1м/с,-16,770,З 1м/с
2020-12-04,-11,770,З 1м/с,-16,770,З 1м/с
2020-12-05,-12,771,З 1м/с,-15,771,З 1м/с
2020-12-06,-13,772,З 1м/с,-13,772,З 1м/с
