2016-05-23,+21,751,С 2м/с,+17,751,С 2м/с
2016-05-24,+25,749,ЮВ 2м/с,+22,749,ЮВ 2м/с
2016-05-25,+29,748,ЮВ 2м/с,+23,748,ЮВ 2м/с
2016-05-26,+30,749,ЮВ 2м/с,+21,749,ЮВ 2м/с
2016-05-27,+29,751,З 2м/с,+21,751,З 2м/с
2016-05-28,+30,751,З 2м/с,+25,751,З 2м/с
2016-05-29,+30,750,СВ 1м/с,+24,750,СВ 1м/с
