2018-09-10,+23,755,С 1м/с,+15,757,С 1м/с
2018-09-11,+21,758,В 2м/с,+16,758,В 2м/с
2018-09-12,+23,756,В 2м/с,+15,755,В 2м/с
2018-09-13,+24,752,З 2м/с,+22,750,З 2м/с
2018-09-14,+18,753,В 1м/с,+16,753,В 1м/с
2018-09-15,+23,752,В 2м/с,+17,752,В 2м/с
2018-09-16,+26,749,В 2м/с,+20,748,В 2м/с
