2012-03-05,-3,740,С 3м/с,-5,740,С 3м/с
2012-03-06,-3,741,В 2м/с,-6,743,В 2м/с
2012-03-07,-6,746,В 2м/с,-9,746,В 2м/с
2012-03-08,-7,750,В 2м/с,-7,750,В 2м/с
2012-03-09,-6,749,ЮВ 2м/с,-13,751,ЮВ 2м/с
2012-03-10,-13,754,В 2м/с,-15,755,В 2м/с
2012-03-11,-10,756,ЮВ 1м/с,-15,758,ЮВ 1м/с
