2023-01-16,-12,763,В 4м/с,-14,763,В 4м/с
2023-01-17,-12,764,В 3м/с,-13,764,В 3м/с
2023-01-18,-10,766,В 2м/с,-12,766,В 2м/с
2023-01-19,-9,767,В 3м/с,-11,767,В 3м/с
2023-01-20,-10,770,В 2м/с,-12,770,В 2м/с
2023-01-21,-9,773,В 2м/с,-11,772,В 2м/с
2023-01-22,-7,773,В 2м/с,-9,773,В 2м/с
