2017-05-08,+24,742,ЮЗ 2м/с,+20,740,ЮЗ 2м/с
2017-05-09,+24,734,З 3м/с,+17,735,З 3м/с
2017-05-10,+13,743,З 2м/с,+10,741,З 2м/с
2017-05-11,+10,744,З 3м/с,+6,748,З 3м/с
2017-05-12,+14,749,ЮЗ 4м/с,+4,749,ЮЗ 4м/с
2017-05-13,+12,754,З 3м/с,+9,754,З 3м/с
2017-05-14,+14,754,З 3м/с,+11,754,З 3м/с
