2013-08-05,+21,743,СВ 1м/с,+23,743,СВ 1м/с
2013-08-06,+28,742,С 2м/с,+21,743,С 2м/с
2013-08-07,+18,744,С 2м/с,+16,745,С 2м/с
2013-08-08,+20,744,С 2м/с,+18,745,С 2м/с
2013-08-09,+23,745,С 2м/с,+20,746,С 2м/с
2013-08-10,+26,745,СВ 2м/с,+18,746,СВ 2м/с
2013-08-11,+29,748,З 1м/с,+19,748,З 1м/с
