2012-09-10,+11,743,З 4м/с,+10,745,З 4м/с
2012-09-11,+12,747,З 3м/с,+11,748,З 3м/с
2012-09-12,+14,747,З 2м/с,+11,745,З 2м/с
2012-09-13,+20,747,СЗ 2м/с,+15,747,СЗ 2м/с
2012-09-14,+24,749,СЗ 2м/с,+13,749,СЗ 2м/с
2012-09-15,+26,748,З 3м/с,+20,747,З 3м/с
2012-09-16,+27,743,З 3м/с,+17,742,З 3м/с
