2014-01-01,0,759,З 1м/с,-1,759,З 1м/с
2014-01-02,-1,758,З 1м/с,-2,759,З 1м/с
2014-01-03,-3,762,С 1м/с,-3,763,С 1м/с
2014-01-04,-8,765,В 3м/с,-8,764,В 3м/с
2014-01-05,-10,763,ЮВ 1м/с,-11,762,ЮВ 1м/с
2014-01-06,-12,759,Ю 2м/с,-10,758,Ю 2м/с
2014-01-07,-6,755,Ю 1м/с,-6,756,Ю 1м/с
2014-01-08,-3,751,Ю 2м/с,+1,749,Ю 2м/с
2014-01-09,0,745,З 2м/с,0,743,З 2м/с
2014-01-10,0,742,З 1м/с,0,743,З 1м/с
2014-01-11,+1,735,Ю 3м/с,+1,735,Ю 3м/с
2014-01-12,0,739,ЮЗ 2м/с,-1,741,ЮЗ 2м/с
2014-01-13,+1,736,Ю 3м/с,+1,737,Ю 3м/с
2014-01-14,0,740,ЮЗ 2м/с,-4,742,ЮЗ 2м/с
2014-01-15,-9,750,З 3м/с,-11,752,З 3м/с
2014-01-16,-10,753,В 2м/с,-8,747,В 2м/с
2014-01-17,-4,740,З 4м/с,-10,742,З 4м/с
2014-01-18,-11,747,З 3м/с,-15,747,З 3м/с
2014-01-19,-18,747,С 2м/с,-22,749,С 2м/с
2014-01-20,-19,755,СЗ 3м/с,-16,756,СЗ 3м/с
2014-01-21,-12,759,З 2м/с,-12,759,З 2м/с
2014-01-22,-13,758,В 1м/с,-19,758,В 1м/с
2014-01-23,-15,752,В 3м/с,-13,751,В 3м/с
2014-01-24,-10,750,В 4м/с,-10,750,В 4м/с
2014-01-25,-12,752,В 3м/с,-15,754,В 3м/с
2014-01-26,-17,754,СЗ 2м/с,-21,755,СЗ 2м/с
2014-01-27,-17,756,З 2м/с,-21,756,З 2м/с
2014-01-28,-22,759,С 2м/с,-26,760,С 2м/с
2014-01-29,-27,766,С 2м/с,-29,768,С 2м/с
2014-01-30,-23,773,СЗ 2м/с,-25,773,СЗ 2м/с
2014-01-31,-17,774,З 1м/с,-23,774,З 1м/с
2014-02-01,-20,775,В 2м/с,-26,776,В 2м/с
2014-02-02,-19,775,ЮЗ 1м/с,-22,773,ЮЗ 1м/с
2014-02-03,-16,761,З 3м/с,-15,758,З 3м/с
2014-02-04,-12,747,Ю 1м/с,-12,745,Ю 1м/с
2014-02-05,-16,750,С 2м/с,-19,752,С 2м/с
2014-02-06,-15,754,С 1м/с,-21,755,С 1м/с
2014-02-07,-19,758,ЮВ 2м/с,-24,759,ЮВ 2м/с
2014-02-08,-15,759,ЮВ 2м/с,-16,759,ЮВ 2м/с
2014-02-09,-13,761,В 2м/с,-14,761,В 2м/с
2014-02-10,-15,761,В 2м/с,-18,760,В 2м/с
2014-02-11,-13,760,ЮВ 2м/с,-13,759,ЮВ 2м/с
2014-02-12,-9,754,Ю 2м/с,-8,753,Ю 2м/с
2014-02-13,-1,753,Ю 1м/с,-1,753,Ю 1м/с
2014-02-14,+1,754,Ю 2м/с,-1,755,Ю 2м/с
2014-02-15,-3,754,ЮВ 2м/с,-6,754,ЮВ 2м/с
2014-02-16,-4,753,ЮВ 1м/с,-5,752,ЮВ 1м/с
2014-02-17,-5,748,Ю 2м/с,-7,747,Ю 2м/с
2014-02-18,-3,739,Ю 1м/с,-2,738,Ю 1м/с
2014-02-19,+1,737,З 3м/с,0,739,З 3м/с
2014-02-20,0,741,З 1м/с,-2,741,З 1м/с
2014-02-21,-3,746,С 2м/с,-13,751,С 2м/с
2014-02-22,-16,762,СВ 2м/с,-19,765,СВ 2м/с
2014-02-23,-17,769,Ю 2м/с,-20,769,Ю 2м/с
2014-02-24,-15,769,ЮЗ 2м/с,-18,769,ЮЗ 2м/с
2014-02-25,-9,769,З 2м/с,-13,769,З 2м/с
2014-02-26,-4,766,ЮЗ 2м/с,-9,765,ЮЗ 2м/с
2014-02-27,+1,762,З 1м/с,-11,761,З 1м/с
2014-02-28,-7,759,В 2м/с,-7,759,В 2м/с
2014-03-01,-3,759,В 2м/с,-6,759,В 2м/с
2014-03-02,-4,759,В 2м/с,-8,758,В 2м/с
